gamma_index,gamma_value,error
9643,9519.80131591,0.08434843484428711
9644,9519.95064276,0.06498649864988693
9645,9520.10768576,0.11343134313392511
9646,9520.19443432,0.05930593059383682
9647,9520.38170138,0.1279527952792705
9648,9520.53354077,0.19827982798415178
9649,9520.64769211,0.17855785578649375
9650,9520.71242052,0.15247524752521713
9651,9520.77996781,0.18935893589514308
9652,9521.07930089,0.10027002700371668
9653,9521.21019627,0.10191019101876009
9654,9521.28679439,0.13071307130849164
9655,9521.44218833,0.024702470247575548
9656,9521.616326,0.09154915491672
9657,9521.75723395,0.10295029502958641
9658,9521.92152477,0.17787778777892527
9659,9521.99828885,0.09190919091997785
9660,9522.08610253,0.1797179717977997
9661,9522.25905223,0.15891589159036812
9662,9522.333255,0.15819581958203344
9663,9522.5029187,0.00014001400086272042
9664,9522.7141818,0.05002500249975128
9665,9522.76113301,0.0030603060313296737
9666,9522.86454354,0.1003500350034301
9667,9522.98158227,0.10487048704999324
9668,9523.08063937,0.1708370837095572
9669,9523.33514983,0.04794479447991762
9670,9523.53160697,0.14851485148574284
9671,9523.66433016,0.11123112311361183
9672,9523.79416451,0.06378637863781478
9673,9523.88989242,0.17835783578448172
9674,9524.06730823,0.000940094008910819
9675,9524.12355175,0.05530553055359633
9676,9524.30260624,0.17267726772661263
9677,9524.42513993,0.17951795179578767
9678,9524.52349639,0.18447844784532208
9679,9524.677399,0.030583058305637678
9680,9524.92191441,0.19459945994640293
9681,9524.98342384,0.07146714671580412
9682,9525.06971545,0.15775577557724318
9683,9525.20869912,0.12575257525713823
9684,9525.34134072,0.14631463146361057
9685,9525.5315218,0.17403740374174959
9686,9525.69411934,0.10279027902834059
9687,9525.78619556,0.010741074107500026
9688,9526.01921148,0.13835383538389578
9689,9526.05193623,0.17107710771051643
9690,9526.20070267,0.1359935993605177
9691,9526.28054636,0.12691269127026317
9692,9526.34933799,0.19567956795799546
9693,9526.44005803,0.1847584758488665
9694,9526.63629836,0.16799679968062264
9695,9526.81943429,0.08118811881286092
9696,9526.91687233,0.17863786378620716
9697,9527.0424918,0.16971697169719846
9698,9527.23613799,0.17951795179578767
9699,9527.34544993,0.13563356335725985
9700,9527.52616405,0.04506450645021687
9701,9527.65144604,0.17035703570400074
9702,9527.753515,0.17051705170524656
9703,9527.92959896,0.030543054304871475
9704,9528.12045554,0.1603160316044523
9705,9528.20835102,0.03926392639368714
9706,9528.42778248,0.18015801580258994
9707,9528.50674844,0.08602860286009673
9708,9528.70050204,0.17679767976915173
9709,9528.79211666,0.08246824682464649
9710,9528.8764474,0.001860186019257526
9711,9528.96959384,0.1644764476459386
9712,9529.07605595,0.058025802580232266
9713,9529.23943858,0.1296329632968991
9714,9529.4106355,0.04154415441553283
9715,9529.46946605,0.1003900390041963
9716,9529.5399742,0.1708770877085044
9717,9529.69284303,0.170797079708791
9718,9529.84883825,0.19007900790165877
9719,9530.06997234,0.023822382237995043
9720,9530.09360781,0.04742474247359496
9721,9530.26538195,0.18691869187023258
9722,9530.41737389,0.18511851185212436
9723,9530.57242296,0.15819581958203344
9724,9530.69694733,0.00018001800162892323
9725,9530.76719898,0.07006700670171995
9726,9530.93819799,0.1733973397349473
9727,9531.11398843,0.12351235123605875
9728,9531.19016184,0.08418841884304129
9729,9531.29601095,0.13299329933033732
9730,9531.4520753,0.023062306230713148
9731,9531.51605175,0.08702870287015685
9732,9531.60269641,0.17367736773667275
9733,9531.93882373,0.1894789478956227
9734,9532.05625869,0.1878787878795265
9735,9532.24680208,0.17115711571204884
9736,9532.38653141,0.15487548754936142
9737,9532.44170872,0.09970997099662782
9738,9532.65047904,0.10907090709042677
9739,9532.76415352,0.1854785478553822
9740,9532.84514529,0.1531553155327856
9741,9532.96795296,0.17935793579454185
9742,9533.15128386,0.10883088308946753
9743,9533.2968513,0.03674367436724424
9744,9533.4173156,0.17563756375784578
9745,9533.50874028,0.0842284228419885
9746,9533.73527654,0.14231423142337007
9747,9533.84732435,0.09026902690311545
9748,9533.93574132,0.16003600360090786
9749,9534.11705175,0.023302330233491375
9750,9534.32697881,0.18663866386668815
9751,9534.43122263,0.015901590159046464
9752,9534.55717633,0.1675967596765986
9753,9534.62962785,0.09514951495111745
9754,9534.77515373,0.05038503850482812
9755,9534.90825862,0.18347834783526196
9756,9534.98936658,0.1684368436854129
9757,9535.12906167,0.15815581558126723
9758,9535.33391876,0.1426342634276807
9759,9535.46640014,0.021782178217108594
9760,9535.62564896,0.18103810381035146
9761,9535.69234696,0.17371737173743895
9762,9535.79676657,0.0850685068508028
9763,9535.96720745,0.08538853885329445
9764,9536.0447438,0.1629162916306086
9765,9536.22582686,0.1660366036612686
9766,9536.43556845,0.19167916791775497
9767,9536.51014686,0.13091309131050366
9768,9536.64181143,0.0007400740068987943
9769,9536.7196416,0.0785878587867046
9770,9536.87870096,0.18431843184407626
9771,9536.99402852,0.11463146314599726
9772,9537.1271644,0.18991899190041295
9773,9537.25818699,0.1909990999101865
9774,9537.39990259,0.067146714671253
9775,9537.45981978,0.12703270327074279
9776,9537.72787237,0.08954895489659975
9777,9537.78913092,0.02830283028379199
9778,9537.9532571,0.13583358335927187
9779,9538.13213112,0.11467146714676346
9780,9538.21714036,0.02966296629710996
9781,9538.26979193,0.022982298229180742
9782,9538.37982034,0.13299329933033732
9783,9538.64147588,0.13347334733589378
9784,9538.76992126,0.14387438743870007
9785,9538.8929377,0.17779777977921185
9786,9539.05119434,0.18015801580258994
9787,9539.13848353,0.18431843184407626
9788,9539.28222372,0.1902790279036708
9789,9539.38806376,0.1569956995699613
9790,9539.64776146,0.12675267526719836
9791,9539.75704791,0.19627962796403153
9792,9539.91260139,0.18767876787751447
9793,9539.98038342,0.17211721172134276
9794,9540.04352034,0.15087508750912093
9795,9540.16896603,0.16323632363310026
9796,9540.40216456,0.11187118711859512
9797,9540.51421865,0.11535153515433194
9798,9540.53993121,0.08966896689707937
9799,9540.76472778,0.13619361936252972
9800,9540.87501674,0.13151315131472074
9801,9541.06886006,0.17791779177969147
9802,9541.17852251,0.1692769276942272
9803,9541.32572067,0.19335933593356458
9804,9541.47142616,0.1441944194430107
9805,9541.51372076,0.10191019101876009
9806,9541.65102976,0.03542354235469247
9807,9541.92945435,0.08158815881688497
9808,9542.02589503,0.17799779978122388
9809,9542.12006235,0.1304330433049472
9810,9542.28773995,0.1636763676378905
9811,9542.36786665,0.1353135313529492
9812,9542.41084815,0.17827782778294932
9813,9542.64568106,0.18747874787550245
9814,9542.78819027,0.04494449444973725
9815,9542.8551835,0.02202220221988682
9816,9543.11549033,0.06542654265467718
9817,9543.18567265,0.13559355935649364
9818,9543.28393483,0.1797579757985659
9819,9543.43924395,0.130393039304181
9820,9543.66603582,0.10171017101674806
9821,9543.78383512,0.16783678367937682
9822,9543.82339537,0.1806380638063274
9823,9543.99554041,0.04646464646430104
9824,9544.19714857,0.15447544754533737
9825,9544.29370291,0.05790579057975265
9826,9544.53224072,0.1805980598073802
9827,9544.65123856,0.13975397539797996
